canadian_and_foreign_direct_investment,countries_or_regions,2015,2016,2017,2018,2019,2020,series
Canadian direct investment abroad - total book value,Iraq,25.0,0.0,23.0,29.0,31.0,30.0,FDI IIC
Canadian direct investment abroad - total book value,Ireland,15535.0,11138.0,8798.0,9952.0,11290.0,11993.0,FDI IIC
Canadian direct investment abroad - total book value,Isle of Man,2054.0,2609.0,2825.0,2881.0,11831.0,12709.0,FDI IIC
Canadian direct investment abroad - total book value,Israel,1110.0,808.0,1143.0,-207.0,562.0,515.0,FDI IIC
Canadian direct investment abroad - total book value,Italy,484.0,557.0,1042.0,868.0,811.0,946.0,FDI IIC
Canadian direct investment abroad - total book value,Ivory Coast,615.0,592.0,505.0,657.0,844.0,1030.0,FDI IIC
Canadian direct investment abroad - total book value,Jamaica,0.0,1.0,1.0,16.0,423.0,312.0,FDI IIC
Canadian direct investment abroad - total book value,Japan,4541.0,4870.0,6327.0,8805.0,8235.0,8750.0,FDI IIC
Canadian direct investment abroad - total book value,Jersey,3940.0,1110.0,1493.0,2123.0,14319.0,14635.0,FDI IIC
Canadian direct investment abroad - total book value,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Kazakhstan,1303.0,2344.0,2135.0,2886.0,2527.0,2230.0,FDI IIC
Canadian direct investment abroad - total book value,Kenya,0.0,32.0,113.0,14.0,110.0,108.0,FDI IIC
Canadian direct investment abroad - total book value,Kuwait,0.0,0.0,0.0,0.0,107.0,118.0,FDI IIC
Canadian direct investment abroad - total book value,Kyrgyzstan,1160.0,1571.0,1536.0,1188.0,1173.0,1815.0,FDI IIC
Canadian direct investment abroad - total book value,Latvia,3.0,7.0,3.0,3.0,1.0,1.0,FDI IIC
Canadian direct investment abroad - total book value,Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Liberia,0.0,3.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Libya,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Lithuania,459.0,463.0,489.0,478.0,459.0,467.0,FDI IIC
Canadian direct investment abroad - total book value,Luxembourg,71376.0,78898.0,79583.0,101245.0,96466.0,102522.0,FDI IIC
Canadian direct investment abroad - total book value,Macau,2.0,2.0,3.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Madagascar,37.0,32.0,31.0,26.0,28.0,28.0,FDI IIC
Canadian direct investment abroad - total book value,Malawi,12.0,11.0,7.0,-2.0,-2.0,-4.0,FDI IIC
Canadian direct investment abroad - total book value,Malaysia,944.0,966.0,1111.0,-312.0,-349.0,-233.0,FDI IIC
Canadian direct investment abroad - total book value,Mali,179.0,560.0,199.0,512.0,641.0,1302.0,FDI IIC
Canadian direct investment abroad - total book value,Malta,621.0,764.0,1272.0,2867.0,1605.0,1686.0,FDI IIC
Canadian direct investment abroad - total book value,Mauritania,-3180.0,-2424.0,-2346.0,-2345.0,-2265.0,-2265.0,FDI IIC
Canadian direct investment abroad - total book value,Mauritius,308.0,1304.0,2562.0,4408.0,5041.0,5091.0,FDI IIC
Canadian direct investment abroad - total book value,Mexico,16788.0,17604.0,20533.0,26494.0,26855.0,28822.0,FDI IIC
Canadian direct investment abroad - total book value,Monaco,9.0,7.0,11.0,9.0,26.0,28.0,FDI IIC
Canadian direct investment abroad - total book value,Mongolia,7018.0,6648.0,6046.0,6180.0,6512.0,6519.0,FDI IIC
Canadian direct investment abroad - total book value,Morocco,-4.0,7.0,17.0,0.0,77.0,75.0,FDI IIC
Canadian direct investment abroad - total book value,Mozambique,0.0,0.0,56.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Myanmar,0.0,0.0,1.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Namibia,129.0,524.0,492.0,743.0,689.0,732.0,FDI IIC
Canadian direct investment abroad - total book value,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Netherlands,31516.0,33545.0,34062.0,41183.0,41410.0,44795.0,FDI IIC
Canadian direct investment abroad - total book value,Netherlands Antilles,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,New Zealand,679.0,592.0,413.0,1315.0,1850.0,2085.0,FDI IIC
Canadian direct investment abroad - total book value,Nicaragua,348.0,474.0,350.0,715.0,3.0,33.0,FDI IIC
Canadian direct investment abroad - total book value,Niger,0.0,0.0,-53.0,-53.0,-53.0,-59.0,FDI IIC
Canadian direct investment abroad - total book value,Nigeria,437.0,543.0,501.0,390.0,443.0,443.0,FDI IIC
Canadian direct investment abroad - total book value,North America,637833.0,683834.0,725154.0,844560.0,861932.0,883747.0,FDI IIC
Canadian direct investment abroad - total book value,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Norway,1419.0,1604.0,1833.0,1816.0,1333.0,1281.0,FDI IIC
Canadian direct investment abroad - total book value,Oman,1.0,18.0,1.0,0.0,95.0,95.0,FDI IIC
Canadian direct investment abroad - total book value,Pakistan,2.0,30.0,1.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Panama,4874.0,4698.0,4824.0,3833.0,3037.0,3444.0,FDI IIC
Canadian direct investment abroad - total book value,Papua New Guinea,800.0,638.0,400.0,942.0,408.0,471.0,FDI IIC
Canadian direct investment abroad - total book value,Paraguay,0.0,0.0,40.0,0.0,20.0,20.0,FDI IIC
Canadian direct investment abroad - total book value,People's Republic of China,10252.0,10218.0,13089.0,13586.0,11302.0,12951.0,FDI IIC
