Trade,Year,Principal_trading_partners,VALUE,iso
Balances,2003,Belgium,-212.0,BEL
Balances,2003,Brazil,-543.0,BRA
Balances,2003,China,-3551.0,CHN
Balances,2003,European Union excluding the United Kingdom,-9629.0,GBR
Balances,2003,France,-1058.0,FRA
Balances,2003,Germany,-4020.0,DEU
Balances,2003,Hong Kong,-3669.0,HKG
Balances,2003,India,-323.0,IND
Balances,2003,Indonesia,-151.0,IDN
Balances,2003,Iraq,-1375.0,IRQ
Balances,2003,Italy,-1957.0,ITA
Balances,2003,Japan,-861.0,JPN
Balances,2003,Mexico,-1436.0,MEX
Balances,2003,Netherlands,266.0,NLD
Balances,2003,Norway,-2816.0,NOR
Balances,2003,Other European Union countries not elsewhere classified,-2692.0,Other European Union countries not elsewhere classified
Balances,2003,Other countries not elsewhere classified,-1186.0,Other countries not elsewhere classified
Balances,2003,Peru,-57.0,PER
Balances,2003,Russian Federation,81.0,RUS
Balances,2003,Saudi Arabia,-285.0,SAU
Balances,2003,Singapore,-91.0,SGP
Balances,2003,South Korea,-1492.0,South Korea
Balances,2003,Spain,46.0,ESP
Balances,2003,Switzerland,-1443.0,CHE
Balances,2003,Taiwan,-804.0,TWN
Balances,2003,Total of all countries,55559.0,Total of all countries
Balances,2003,Turkey,-17.0,TUR
Balances,2003,United Kingdom,-1506.0,GBR
Balances,2003,United States,88112.0,USA
Balances,2004,Algeria,-2136.0,DZA
Balances,2004,Australia,73.0,AUS
Balances,2004,Belgium,362.0,BEL
Balances,2004,Brazil,-746.0,BRA
Balances,2004,China,-5235.0,CHN
Balances,2004,European Union excluding the United Kingdom,-9350.0,GBR
Balances,2004,France,-1132.0,FRA
Balances,2004,Germany,-4904.0,DEU
Balances,2004,Hong Kong,-3330.0,HKG
Balances,2004,India,-354.0,IND
Balances,2004,Indonesia,90.0,IDN
Balances,2004,Iraq,-1112.0,IRQ
Balances,2004,Italy,-1791.0,ITA
Balances,2004,Japan,-246.0,JPN
Balances,2004,Mexico,-1035.0,MEX
Balances,2004,Netherlands,582.0,NLD
Balances,2004,Norway,-2766.0,NOR
Balances,2004,Other European Union countries not elsewhere classified,-2859.0,Other European Union countries not elsewhere classified
Balances,2004,Other countries not elsewhere classified,-2519.0,Other countries not elsewhere classified
Balances,2004,Peru,-196.0,PER
Balances,2004,Russian Federation,-146.0,RUS
Balances,2004,Saudi Arabia,-545.0,SAU
Balances,2004,Singapore,184.0,SGP
Balances,2004,South Korea,-2103.0,South Korea
Balances,2004,Spain,392.0,ESP
Balances,2004,Switzerland,-2210.0,CHE
Balances,2004,Taiwan,-990.0,TWN
Balances,2004,Total of all countries,64978.0,Total of all countries
Balances,2004,Turkey,-104.0,TUR
Balances,2004,United Kingdom,-132.0,GBR
Balances,2004,United States,99886.0,USA
Balances,2005,Algeria,-3737.0,DZA
Balances,2005,Australia,154.0,AUS
Balances,2005,Belgium,-140.0,BEL
Balances,2005,Brazil,-1259.0,BRA
Balances,2005,China,-9052.0,CHN
Balances,2005,European Union excluding the United Kingdom,-10916.0,GBR
Balances,2005,France,-767.0,FRA
Balances,2005,Germany,-5155.0,DEU
Balances,2005,Hong Kong,-3326.0,HKG
Balances,2005,India,-247.0,IND
Balances,2005,Indonesia,88.0,IDN
Balances,2005,Iraq,-1239.0,IRQ
Balances,2005,Italy,-1616.0,ITA
Balances,2005,Japan,-1064.0,JPN
Balances,2005,Mexico,-2235.0,MEX
Balances,2005,Netherlands,706.0,NLD
Balances,2005,Norway,-4200.0,NOR
Balances,2005,Other European Union countries not elsewhere classified,-4366.0,Other European Union countries not elsewhere classified
Balances,2005,Other countries not elsewhere classified,-3417.0,Other countries not elsewhere classified
Balances,2005,Peru,-990.0,PER
Balances,2005,Russian Federation,-167.0,RUS
Balances,2005,Saudi Arabia,-1062.0,SAU
Balances,2005,Singapore,-77.0,SGP
Balances,2005,South Korea,-1348.0,South Korea
Balances,2005,Spain,424.0,ESP
Balances,2005,Switzerland,-2092.0,CHE
Balances,2005,Taiwan,-916.0,TWN
Balances,2005,Total of all countries,61595.0,Total of all countries
Balances,2005,Turkey,-30.0,TUR
Balances,2005,United Kingdom,286.0,GBR
Balances,2005,United States,108440.0,USA
Balances,2006,Algeria,-4516.0,DZA
Balances,2006,Australia,542.0,AUS
Balances,2006,Belgium,-508.0,BEL
Balances,2006,Brazil,-1264.0,BRA
Balances,2006,China,-12198.0,CHN
Balances,2006,European Union excluding the United Kingdom,-11781.0,GBR
Balances,2006,France,-733.0,FRA
Balances,2006,Germany,-5206.0,DEU
Balances,2006,Hong Kong,-2954.0,HKG
Balances,2006,India,283.0,IND
Balances,2006,Indonesia,217.0,IDN
Balances,2006,Iraq,-1399.0,IRQ
Balances,2006,Italy,-1814.0,ITA
Balances,2006,Japan,-1604.0,JPN
Balances,2006,Mexico,-2222.0,MEX
Balances,2006,Netherlands,1554.0,NLD
Balances,2006,Norway,-3188.0,NOR
Balances,2006,Other European Union countries not elsewhere classified,-5275.0,Other European Union countries not elsewhere classified
Balances,2006,Other countries not elsewhere classified,-2929.0,Other countries not elsewhere classified
Balances,2006,Peru,-1678.0,PER
Balances,2006,Russian Federation,-343.0,RUS
Balances,2006,Saudi Arabia,-884.0,SAU
Balances,2006,Singapore,-190.0,SGP
Balances,2006,South Korea,-918.0,South Korea
Balances,2006,Spain,200.0,ESP
Balances,2006,Switzerland,-1297.0,CHE
Balances,2006,Taiwan,-896.0,TWN
Balances,2006,Total of all countries,48068.0,Total of all countries
Balances,2006,Turkey,119.0,TUR
Balances,2006,United Kingdom,1683.0,GBR
Balances,2006,United States,95481.0,USA
Balances,2007,Algeria,-4384.0,DZA
Balances,2007,Australia,202.0,AUS
Balances,2007,Belgium,-160.0,BEL
Balances,2007,Brazil,-979.0,BRA
Balances,2007,China,-13267.0,CHN
Balances,2007,European Union excluding the United Kingdom,-8191.0,GBR
Balances,2007,France,-636.0,FRA
Balances,2007,Germany,-5725.0,DEU
Balances,2007,Hong Kong,-3047.0,HKG
Balances,2007,India,383.0,IND
Balances,2007,Indonesia,365.0,IDN
Balances,2007,Iraq,-1311.0,IRQ
Balances,2007,Italy,-1178.0,ITA
Balances,2007,Japan,-1974.0,JPN
Balances,2007,Mexico,-2094.0,MEX
Balances,2007,Netherlands,2377.0,NLD
Balances,2007,Norway,-1438.0,NOR
Balances,2007,Other European Union countries not elsewhere classified,-3159.0,Other European Union countries not elsewhere classified
Balances,2007,Other countries not elsewhere classified,-1805.0,Other countries not elsewhere classified
Balances,2007,Peru,-1658.0,PER
Balances,2007,Russian Federation,418.0,RUS
Balances,2007,Saudi Arabia,-864.0,SAU
Balances,2007,Singapore,-1024.0,SGP
Balances,2007,South Korea,-701.0,South Korea
Balances,2007,Spain,291.0,ESP
Balances,2007,Switzerland,-1151.0,CHE
Balances,2007,Taiwan,-591.0,TWN
Balances,2007,Total of all countries,46169.0,Total of all countries
Balances,2007,Turkey,115.0,TUR
Balances,2007,United Kingdom,4136.0,GBR
Balances,2007,United States,85029.0,USA
Balances,2008,Algeria,-6651.0,DZA
Balances,2008,Australia,709.0,AUS
Balances,2008,Belgium,268.0,BEL
Balances,2008,Brazil,744.0,BRA
Balances,2008,China,-14890.0,CHN
Balances,2008,European Union excluding the United Kingdom,-10306.0,GBR
Balances,2008,France,-1255.0,FRA
Balances,2008,Germany,-6079.0,DEU
Balances,2008,Hong Kong,-2601.0,HKG
Balances,2008,India,764.0,IND
Balances,2008,Indonesia,777.0,IDN
Balances,2008,Iraq,-2095.0,IRQ
Balances,2008,Italy,-1592.0,ITA
Balances,2008,Japan,90.0,JPN
Balances,2008,Mexico,-2410.0,MEX
Balances,2008,Netherlands,1439.0,NLD
Balances,2008,Norway,-2452.0,NOR
Balances,2008,Other European Union countries not elsewhere classified,-2884.0,Other European Union countries not elsewhere classified
Balances,2008,Other countries not elsewhere classified,-1068.0,Other countries not elsewhere classified
Balances,2008,Peru,-1933.0,PER
Balances,2008,Russian Federation,448.0,RUS
Balances,2008,Saudi Arabia,-1044.0,SAU
Balances,2008,Singapore,-1175.0,SGP
Balances,2008,South Korea,-307.0,South Korea
Balances,2008,Spain,-201.0,ESP
Balances,2008,Switzerland,-1804.0,CHE
Balances,2008,Taiwan,-906.0,TWN
Balances,2008,Total of all countries,44245.0,Total of all countries
Balances,2008,Turkey,-392.0,TUR
Balances,2008,United Kingdom,2755.0,GBR
Balances,2008,United States,87986.0,USA
Balances,2009,Algeria,-3371.0,DZA
Balances,2009,Australia,289.0,AUS
Balances,2009,Belgium,-1161.0,BEL
Balances,2009,Brazil,-371.0,BRA
Balances,2009,China,-11792.0,CHN
Balances,2009,European Union excluding the United Kingdom,-11557.0,GBR
Balances,2009,France,-1160.0,FRA
Balances,2009,Germany,-4846.0,DEU
Balances,2009,Hong Kong,-2623.0,HKG
Balances,2009,India,707.0,IND
Balances,2009,Indonesia,352.0,IDN
Balances,2009,Iraq,-108.0,IRQ
Balances,2009,Italy,-1581.0,ITA
Balances,2009,Japan,-494.0,JPN
Balances,2009,Mexico,-3695.0,MEX
Balances,2009,Netherlands,630.0,NLD
Balances,2009,Norway,-1538.0,NOR
Balances,2009,Other European Union countries not elsewhere classified,-3433.0,Other European Union countries not elsewhere classified
Balances,2009,Other countries not elsewhere classified,-2252.0,Other countries not elsewhere classified
Balances,2009,Peru,-2361.0,PER
Balances,2009,Russian Federation,118.0,RUS
Balances,2009,Saudi Arabia,-322.0,SAU
Balances,2009,Singapore,-910.0,SGP
Balances,2009,South Korea,-715.0,South Korea
Balances,2009,Spain,-7.0,ESP
Balances,2009,Switzerland,-2578.0,CHE
Balances,2009,Taiwan,-848.0,TWN
Balances,2009,Total of all countries,-6218.0,Total of all countries
Balances,2009,Turkey,-997.0,TUR
Balances,2009,United Kingdom,4384.0,GBR
Balances,2009,United States,34466.0,USA
Balances,2010,Algeria,-3042.0,DZA
Balances,2010,Australia,382.0,AUS
Balances,2010,Belgium,-427.0,BEL
Balances,2010,Brazil,-128.0,BRA
Balances,2010,China,-12244.0,CHN
Balances,2010,European Union excluding the United Kingdom,-10629.0,GBR
Balances,2010,France,-942.0,FRA
Balances,2010,Germany,-4457.0,DEU
Balances,2010,Hong Kong,-2571.0,HKG
Balances,2010,India,534.0,IND
Balances,2010,Indonesia,340.0,IDN
Balances,2010,Iraq,-932.0,IRQ
Balances,2010,Italy,-1424.0,ITA
Balances,2010,Japan,-310.0,JPN
Balances,2010,Mexico,-7244.0,MEX
Balances,2010,Netherlands,1546.0,NLD
Balances,2010,Norway,130.0,NOR
Balances,2010,Other European Union countries not elsewhere classified,-4840.0,Other European Union countries not elsewhere classified
Balances,2010,Other countries not elsewhere classified,-7215.0,Other countries not elsewhere classified
Balances,2010,Peru,-3101.0,PER
Balances,2010,Russian Federation,431.0,RUS
Balances,2010,Saudi Arabia,-666.0,SAU
Balances,2010,Singapore,-768.0,SGP
Balances,2010,South Korea,-748.0,South Korea
Balances,2010,Spain,-84.0,ESP
Balances,2010,Switzerland,-2626.0,CHE
Balances,2010,Taiwan,-937.0,TWN
Balances,2010,Total of all countries,-9152.0,Total of all countries
Balances,2010,Turkey,-894.0,TUR
